link_id,epoch,C_l,rho_C_l,C_effective_l,planner_grant_sum_bps,target_rate_sum_bps,applied_rate_sum_bps,actual_tx_rate_sum_bps,background_rate_bps,legacy_floor_rate_bps,flows_below_legacy_floor,floor_clamp_count,rate_clamp_delta_sum_bps,zero_grant_flow_count,paused_zero_grant_count,applied_capacity_excess_bps,applied_capacity_violation,actual_arrival_excess_bps,base_capacity_bps,boost_effective_bps,drain_effective_bps,effective_planner_budget_bps,arrival_rate_bps,served_rate_bps,unallocated_delta_bps,clamp_reason,admission_grant_sum_bps,planner_target_sum_bps,full_unallocated_bps,unallocated_reason,explicit_fixed_reserved_bps,fill_invoked,active_control_qps,input_budget_bps,returned_target_sum_bps,skip_reason,excl_scope,excl_finished,excl_wrong_generation,excl_missing_path,floor_set_count,background_in_control
0,2018,400000000000,360000000000,360000000000,400000000000,400000000000,380000000000,345766400000,0,1702400000,0,0,0,0,0,20000000000,1,0,360000000000,0,0,360000000000,363200000000,363200000000,0,0,400000000000,400000000000,0,0,0,1,1,400000000000,400000000000,0,0,0,0,0,1,1
0,2019,400000000000,360000000000,360000000000,400000000000,400000000000,380000000000,345766400000,0,1702400000,0,0,0,0,0,20000000000,1,0,360000000000,0,0,360000000000,364800000000,364800000000,0,0,400000000000,400000000000,0,0,0,1,1,400000000000,400000000000,0,0,0,0,0,1,1
0,2020,400000000000,360000000000,360000000000,400000000000,400000000000,380000000000,347289600000,0,1702400000,0,0,0,0,0,20000000000,1,0,360000000000,0,0,360000000000,363200000000,363200000000,0,0,400000000000,400000000000,0,0,0,1,1,400000000000,400000000000,0,0,0,0,0,1,1
0,2021,400000000000,360000000000,360000000000,400000000000,400000000000,380000000000,345766400000,0,1702400000,0,0,0,0,0,20000000000,1,0,360000000000,0,0,360000000000,363200000000,363200000000,0,0,400000000000,400000000000,0,0,0,1,1,400000000000,400000000000,0,0,0,0,0,1,1
0,2022,400000000000,360000000000,360000000000,400000000000,400000000000,380000000000,345766400000,0,1702400000,0,0,0,0,0,20000000000,1,0,360000000000,0,0,360000000000,364800000000,364800000000,0,0,400000000000,400000000000,0,0,0,1,1,400000000000,400000000000,0,0,0,0,0,1,1
0,2023,400000000000,360000000000,360000000000,400000000000,400000000000,380000000000,345766400000,0,1702400000,0,0,0,0,0,20000000000,1,0,360000000000,0,0,360000000000,363200000000,363200000000,0,0,400000000000,400000000000,0,0,0,1,1,400000000000,400000000000,0,0,0,0,0,1,1
0,2024,400000000000,360000000000,360000000000,400000000000,400000000000,380000000000,347289600000,0,1702400000,0,0,0,0,0,20000000000,1,0,360000000000,0,0,360000000000,363200000000,363200000000,0,0,400000000000,400000000000,0,0,0,1,1,400000000000,400000000000,0,0,0,0,0,1,1
0,2025,400000000000,360000000000,360000000000,400000000000,400000000000,380000000000,345766400000,0,1702400000,0,0,0,0,0,20000000000,1,0,360000000000,0,0,360000000000,363200000000,363200000000,0,0,400000000000,400000000000,0,0,0,1,1,400000000000,400000000000,0,0,0,0,0,1,1
0,2026,400000000000,360000000000,360000000000,400000000000,400000000000,380000000000,345766400000,0,1702400000,0,0,0,0,0,20000000000,1,0,360000000000,0,0,360000000000,364800000000,364800000000,0,0,400000000000,400000000000,0,0,0,1,1,400000000000,400000000000,0,0,0,0,0,1,1
0,2027,400000000000,360000000000,360000000000,400000000000,400000000000,380000000000,347289600000,0,1702400000,0,0,0,0,0,20000000000,1,0,360000000000,0,0,360000000000,363200000000,363200000000,0,0,400000000000,400000000000,0,0,0,1,1,400000000000,400000000000,0,0,0,0,0,1,1
0,2028,400000000000,360000000000,360000000000,400000000000,400000000000,380000000000,345766400000,0,1702400000,0,0,0,0,0,20000000000,1,0,360000000000,0,0,360000000000,363200000000,363200000000,0,0,400000000000,400000000000,0,0,0,1,1,400000000000,400000000000,0,0,0,0,0,1,1
0,2029,400000000000,360000000000,360000000000,400000000000,400000000000,380000000000,345766400000,0,1702400000,0,0,0,0,0,20000000000,1,0,360000000000,0,0,360000000000,363200000000,363200000000,0,0,400000000000,400000000000,0,0,0,1,1,400000000000,400000000000,0,0,0,0,0,1,1
0,2030,400000000000,360000000000,360000000000,400000000000,400000000000,380000000000,345766400000,0,1702400000,0,0,0,0,0,20000000000,1,0,360000000000,0,0,360000000000,364800000000,364800000000,0,0,400000000000,400000000000,0,0,0,1,1,400000000000,400000000000,0,0,0,0,0,1,1
0,2031,400000000000,360000000000,360000000000,400000000000,400000000000,380000000000,347289600000,0,1702400000,0,0,0,0,0,20000000000,1,0,360000000000,0,0,360000000000,363200000000,363200000000,0,0,400000000000,400000000000,0,0,0,1,1,400000000000,400000000000,0,0,0,0,0,1,1
0,2032,400000000000,360000000000,360000000000,400000000000,400000000000,380000000000,345766400000,0,1702400000,0,0,0,0,0,20000000000,1,0,360000000000,0,0,360000000000,363200000000,363200000000,0,0,400000000000,400000000000,0,0,0,1,1,400000000000,400000000000,0,0,0,0,0,1,1
0,2033,400000000000,360000000000,360000000000,400000000000,400000000000,380000000000,345766400000,0,1702400000,0,0,0,0,0,20000000000,1,0,360000000000,0,0,360000000000,364800000000,364800000000,0,0,400000000000,400000000000,0,0,0,1,1,400000000000,400000000000,0,0,0,0,0,1,1
0,2034,400000000000,360000000000,360000000000,400000000000,400000000000,380000000000,345766400000,0,1702400000,0,0,0,0,0,20000000000,1,0,360000000000,0,0,360000000000,363200000000,363200000000,0,0,400000000000,400000000000,0,0,0,1,1,400000000000,400000000000,0,0,0,0,0,1,1
0,2035,400000000000,360000000000,360000000000,400000000000,400000000000,380000000000,347289600000,0,1702400000,0,0,0,0,0,20000000000,1,0,360000000000,0,0,360000000000,363200000000,363200000000,0,0,400000000000,400000000000,0,0,0,1,1,400000000000,400000000000,0,0,0,0,0,1,1
0,2036,400000000000,360000000000,360000000000,400000000000,400000000000,380000000000,345766400000,0,1702400000,0,0,0,0,0,20000000000,1,0,360000000000,0,0,360000000000,363200000000,363200000000,0,0,400000000000,400000000000,0,0,0,1,1,400000000000,400000000000,0,0,0,0,0,1,1
0,2037,400000000000,360000000000,360000000000,400000000000,400000000000,380000000000,345766400000,0,1702400000,0,0,0,0,0,20000000000,1,0,360000000000,0,0,360000000000,364800000000,364800000000,0,0,400000000000,400000000000,0,0,0,1,1,400000000000,400000000000,0,0,0,0,0,1,1
0,2038,400000000000,360000000000,360000000000,400000000000,400000000000,380000000000,347289600000,0,1702400000,0,0,0,0,0,20000000000,1,0,360000000000,0,0,360000000000,363200000000,363200000000,0,0,400000000000,400000000000,0,0,0,1,1,400000000000,400000000000,0,0,0,0,0,1,1
0,2039,400000000000,360000000000,360000000000,400000000000,400000000000,380000000000,345766400000,0,1702400000,0,0,0,0,0,20000000000,1,0,360000000000,0,0,360000000000,363200000000,363200000000,0,0,400000000000,400000000000,0,0,0,1,1,400000000000,400000000000,0,0,0,0,0,1,1
0,2040,400000000000,360000000000,360000000000,400000000000,400000000000,380000000000,345766400000,0,1702400000,0,0,0,0,0,20000000000,1,0,360000000000,0,0,360000000000,363200000000,363200000000,0,0,400000000000,400000000000,0,0,0,1,1,400000000000,400000000000,0,0,0,0,0,1,1
0,2041,400000000000,360000000000,360000000000,400000000000,400000000000,380000000000,345766400000,0,1702400000,0,0,0,0,0,20000000000,1,0,360000000000,0,0,360000000000,364800000000,364800000000,0,0,400000000000,400000000000,0,0,0,1,1,400000000000,400000000000,0,0,0,0,0,1,1
0,2042,400000000000,360000000000,360000000000,400000000000,400000000000,380000000000,347289600000,0,1702400000,0,0,0,0,0,20000000000,1,0,360000000000,0,0,360000000000,363200000000,363200000000,0,0,400000000000,400000000000,0,0,0,1,1,400000000000,400000000000,0,0,0,0,0,1,1
0,2043,400000000000,360000000000,360000000000,400000000000,400000000000,380000000000,345766400000,0,1702400000,0,0,0,0,0,20000000000,1,0,360000000000,0,0,360000000000,363200000000,363200000000,0,0,400000000000,400000000000,0,0,0,1,1,400000000000,400000000000,0,0,0,0,0,1,1
0,2044,400000000000,360000000000,360000000000,400000000000,400000000000,380000000000,345766400000,0,1702400000,0,0,0,0,0,20000000000,1,0,360000000000,0,0,360000000000,364800000000,364800000000,0,0,400000000000,400000000000,0,0,0,1,1,400000000000,400000000000,0,0,0,0,0,1,1
0,2045,400000000000,360000000000,360000000000,400000000000,400000000000,380000000000,345766400000,0,1702400000,0,0,0,0,0,20000000000,1,0,360000000000,0,0,360000000000,363200000000,363200000000,0,0,400000000000,400000000000,0,0,0,1,1,400000000000,400000000000,0,0,0,0,0,1,1
0,2046,400000000000,360000000000,360000000000,400000000000,400000000000,380000000000,347289600000,0,1702400000,0,0,0,0,0,20000000000,1,0,360000000000,0,0,360000000000,363200000000,363200000000,0,0,400000000000,400000000000,0,0,0,1,1,400000000000,400000000000,0,0,0,0,0,1,1
0,2047,400000000000,360000000000,360000000000,400000000000,400000000000,380000000000,345766400000,0,1702400000,0,0,0,0,0,20000000000,1,0,360000000000,0,0,360000000000,363200000000,363200000000,0,0,400000000000,400000000000,0,0,0,1,1,400000000000,400000000000,0,0,0,0,0,1,1
0,2048,400000000000,360000000000,360000000000,400000000000,400000000000,380000000000,345766400000,0,1702400000,0,0,0,0,0,20000000000,1,0,360000000000,0,0,360000000000,364800000000,364800000000,0,0,400000000000,400000000000,0,0,0,1,1,400000000000,400000000000,0,0,0,0,0,1,1
0,2049,400000000000,360000000000,360000000000,400000000000,400000000000,380000000000,347289600000,0,1702400000,0,0,0,0,0,20000000000,1,0,360000000000,0,0,360000000000,363200000000,363200000000,0,0,400000000000,400000000000,0,0,0,1,1,400000000000,400000000000,0,0,0,0,0,1,1
0,2050,400000000000,360000000000,360000000000,400000000000,400000000000,380000000000,345766400000,0,1702400000,0,0,0,0,0,20000000000,1,0,360000000000,0,0,360000000000,363200000000,363200000000,0,0,400000000000,400000000000,0,0,0,1,1,400000000000,400000000000,0,0,0,0,0,1,1
0,2051,400000000000,360000000000,360000000000,400000000000,400000000000,380000000000,345766400000,0,1702400000,0,0,0,0,0,20000000000,1,0,360000000000,0,0,360000000000,363200000000,363200000000,0,0,400000000000,400000000000,0,0,0,1,1,400000000000,400000000000,0,0,0,0,0,1,1
0,2052,400000000000,360000000000,360000000000,400000000000,400000000000,380000000000,345766400000,0,1702400000,0,0,0,0,0,20000000000,1,0,360000000000,0,0,360000000000,364800000000,364800000000,0,0,400000000000,400000000000,0,0,0,1,1,400000000000,400000000000,0,0,0,0,0,1,1
0,2053,400000000000,360000000000,360000000000,400000000000,400000000000,380000000000,347289600000,0,1702400000,0,0,0,0,0,20000000000,1,0,360000000000,0,0,360000000000,363200000000,363200000000,0,0,400000000000,400000000000,0,0,0,1,1,400000000000,400000000000,0,0,0,0,0,1,1
0,2054,400000000000,360000000000,360000000000,400000000000,400000000000,380000000000,345766400000,0,1702400000,0,0,0,0,0,20000000000,1,0,360000000000,0,0,360000000000,363200000000,363200000000,0,0,400000000000,400000000000,0,0,0,1,1,400000000000,400000000000,0,0,0,0,0,1,1
0,2055,400000000000,360000000000,360000000000,400000000000,400000000000,380000000000,345766400000,0,1702400000,0,0,0,0,0,20000000000,1,0,360000000000,0,0,360000000000,364800000000,364800000000,0,0,400000000000,400000000000,0,0,0,1,1,400000000000,400000000000,0,0,0,0,0,1,1
0,2056,400000000000,360000000000,360000000000,400000000000,400000000000,380000000000,345766400000,0,1702400000,0,0,0,0,0,20000000000,1,0,360000000000,0,0,360000000000,363200000000,363200000000,0,0,400000000000,400000000000,0,0,0,1,1,400000000000,400000000000,0,0,0,0,0,1,1
0,2057,400000000000,360000000000,360000000000,400000000000,400000000000,380000000000,347289600000,0,1702400000,0,0,0,0,0,20000000000,1,0,360000000000,0,0,360000000000,363200000000,363200000000,0,0,400000000000,400000000000,0,0,0,1,1,400000000000,400000000000,0,0,0,0,0,1,1
0,2058,400000000000,360000000000,360000000000,400000000000,400000000000,380000000000,345766400000,0,1702400000,0,0,0,0,0,20000000000,1,0,360000000000,0,0,360000000000,363200000000,363200000000,0,0,400000000000,400000000000,0,0,0,1,1,400000000000,400000000000,0,0,0,0,0,1,1
0,2059,400000000000,360000000000,360000000000,400000000000,400000000000,380000000000,345766400000,0,1702400000,0,0,0,0,0,20000000000,1,0,360000000000,0,0,360000000000,364800000000,364800000000,0,0,400000000000,400000000000,0,0,0,1,1,400000000000,400000000000,0,0,0,0,0,1,1
0,2060,400000000000,360000000000,360000000000,400000000000,400000000000,380000000000,347289600000,0,1702400000,0,0,0,0,0,20000000000,1,0,360000000000,0,0,360000000000,363200000000,363200000000,0,0,400000000000,400000000000,0,0,0,1,1,400000000000,400000000000,0,0,0,0,0,1,1
0,2061,400000000000,360000000000,360000000000,400000000000,400000000000,380000000000,345766400000,0,1702400000,0,0,0,0,0,20000000000,1,0,360000000000,0,0,360000000000,363200000000,363200000000,0,0,400000000000,400000000000,0,0,0,1,1,400000000000,400000000000,0,0,0,0,0,1,1
0,2062,400000000000,360000000000,360000000000,400000000000,400000000000,380000000000,345766400000,0,1702400000,0,0,0,0,0,20000000000,1,0,360000000000,0,0,360000000000,363200000000,363200000000,0,0,400000000000,400000000000,0,0,0,1,1,400000000000,400000000000,0,0,0,0,0,1,1
0,2063,400000000000,360000000000,360000000000,400000000000,400000000000,380000000000,345766400000,0,1702400000,0,0,0,0,0,20000000000,1,0,360000000000,0,0,360000000000,364800000000,364800000000,0,0,400000000000,400000000000,0,0,0,1,1,400000000000,400000000000,0,0,0,0,0,1,1
0,2064,400000000000,360000000000,360000000000,400000000000,400000000000,380000000000,347289600000,0,1702400000,0,0,0,0,0,20000000000,1,0,360000000000,0,0,360000000000,363200000000,363200000000,0,0,400000000000,400000000000,0,0,0,1,1,400000000000,400000000000,0,0,0,0,0,1,1
0,2065,400000000000,360000000000,360000000000,400000000000,400000000000,380000000000,345766400000,0,1702400000,0,0,0,0,0,20000000000,1,0,360000000000,0,0,360000000000,363200000000,363200000000,0,0,400000000000,400000000000,0,0,0,1,1,400000000000,400000000000,0,0,0,0,0,1,1
0,2066,400000000000,360000000000,360000000000,400000000000,400000000000,380000000000,345766400000,0,1702400000,0,0,0,0,0,20000000000,1,0,360000000000,0,0,360000000000,364800000000,364800000000,0,0,400000000000,400000000000,0,0,0,1,1,400000000000,400000000000,0,0,0,0,0,1,1
0,2067,400000000000,360000000000,360000000000,400000000000,400000000000,380000000000,345766400000,0,1702400000,0,0,0,0,0,20000000000,1,0,360000000000,0,0,360000000000,363200000000,363200000000,0,0,400000000000,400000000000,0,0,0,1,1,400000000000,400000000000,0,0,0,0,0,1,1
0,2068,400000000000,360000000000,360000000000,400000000000,400000000000,380000000000,347289600000,0,1702400000,0,0,0,0,0,20000000000,1,0,360000000000,0,0,360000000000,363200000000,363200000000,0,0,400000000000,400000000000,0,0,0,1,1,400000000000,400000000000,0,0,0,0,0,1,1
0,2069,400000000000,360000000000,360000000000,400000000000,400000000000,380000000000,345766400000,0,1702400000,0,0,0,0,0,20000000000,1,0,360000000000,0,0,360000000000,363200000000,363200000000,0,0,400000000000,400000000000,0,0,0,1,1,400000000000,400000000000,0,0,0,0,0,1,1
0,2070,400000000000,360000000000,360000000000,400000000000,400000000000,380000000000,345766400000,0,1702400000,0,0,0,0,0,20000000000,1,0,360000000000,0,0,360000000000,364800000000,364800000000,0,0,400000000000,400000000000,0,0,0,1,1,400000000000,400000000000,0,0,0,0,0,1,1
0,2071,400000000000,360000000000,360000000000,400000000000,400000000000,380000000000,347289600000,0,1702400000,0,0,0,0,0,20000000000,1,0,360000000000,0,0,360000000000,363200000000,363200000000,0,0,400000000000,400000000000,0,0,0,1,1,400000000000,400000000000,0,0,0,0,0,1,1
0,2072,400000000000,360000000000,360000000000,400000000000,400000000000,380000000000,345766400000,0,1702400000,0,0,0,0,0,20000000000,1,0,360000000000,0,0,360000000000,363200000000,363200000000,0,0,400000000000,400000000000,0,0,0,1,1,400000000000,400000000000,0,0,0,0,0,1,1
0,2073,400000000000,360000000000,360000000000,400000000000,400000000000,380000000000,345766400000,0,1702400000,0,0,0,0,0,20000000000,1,0,360000000000,0,0,360000000000,363200000000,363200000000,0,0,400000000000,400000000000,0,0,0,1,1,400000000000,400000000000,0,0,0,0,0,1,1
0,2074,400000000000,360000000000,360000000000,400000000000,400000000000,380000000000,345766400000,0,1702400000,0,0,0,0,0,20000000000,1,0,360000000000,0,0,360000000000,364800000000,364800000000,0,0,400000000000,400000000000,0,0,0,1,1,400000000000,400000000000,0,0,0,0,0,1,1
0,2075,400000000000,360000000000,360000000000,400000000000,400000000000,380000000000,347289600000,0,1702400000,0,0,0,0,0,20000000000,1,0,360000000000,0,0,360000000000,363200000000,363200000000,0,0,400000000000,400000000000,0,0,0,1,1,400000000000,400000000000,0,0,0,0,0,1,1
0,2076,400000000000,360000000000,360000000000,400000000000,400000000000,380000000000,345766400000,0,1702400000,0,0,0,0,0,20000000000,1,0,360000000000,0,0,360000000000,363200000000,363200000000,0,0,400000000000,400000000000,0,0,0,1,1,400000000000,400000000000,0,0,0,0,0,1,1
0,2077,400000000000,360000000000,360000000000,400000000000,400000000000,380000000000,345766400000,0,1702400000,0,0,0,0,0,20000000000,1,0,360000000000,0,0,360000000000,364800000000,364800000000,0,0,400000000000,400000000000,0,0,0,1,1,400000000000,400000000000,0,0,0,0,0,1,1
0,2078,400000000000,360000000000,360000000000,400000000000,400000000000,380000000000,345766400000,0,1702400000,0,0,0,0,0,20000000000,1,0,360000000000,0,0,360000000000,363200000000,363200000000,0,0,400000000000,400000000000,0,0,0,1,1,400000000000,400000000000,0,0,0,0,0,1,1
0,2079,400000000000,360000000000,360000000000,400000000000,400000000000,380000000000,347289600000,0,1702400000,0,0,0,0,0,20000000000,1,0,360000000000,0,0,360000000000,363200000000,363200000000,0,0,400000000000,400000000000,0,0,0,1,1,400000000000,400000000000,0,0,0,0,0,1,1
0,2080,400000000000,360000000000,360000000000,400000000000,400000000000,380000000000,345766400000,0,1702400000,0,0,0,0,0,20000000000,1,0,360000000000,0,0,360000000000,363200000000,363200000000,0,0,400000000000,400000000000,0,0,0,1,1,400000000000,400000000000,0,0,0,0,0,1,1
0,2081,400000000000,360000000000,360000000000,400000000000,400000000000,380000000000,345766400000,0,1702400000,0,0,0,0,0,20000000000,1,0,360000000000,0,0,360000000000,364800000000,364800000000,0,0,400000000000,400000000000,0,0,0,1,1,400000000000,400000000000,0,0,0,0,0,1,1
0,2082,400000000000,360000000000,360000000000,400000000000,400000000000,380000000000,347289600000,0,1702400000,0,0,0,0,0,20000000000,1,0,360000000000,0,0,360000000000,363200000000,363200000000,0,0,400000000000,400000000000,0,0,0,1,1,400000000000,400000000000,0,0,0,0,0,1,1
0,2083,400000000000,360000000000,360000000000,400000000000,400000000000,380000000000,345766400000,0,1702400000,0,0,0,0,0,20000000000,1,0,360000000000,0,0,360000000000,363200000000,363200000000,0,0,400000000000,400000000000,0,0,0,1,1,400000000000,400000000000,0,0,0,0,0,1,1
0,2084,400000000000,360000000000,360000000000,400000000000,400000000000,380000000000,345766400000,0,1702400000,0,0,0,0,0,20000000000,1,0,360000000000,0,0,360000000000,363200000000,363200000000,0,0,400000000000,400000000000,0,0,0,1,1,400000000000,400000000000,0,0,0,0,0,1,1
0,2085,400000000000,360000000000,360000000000,400000000000,400000000000,380000000000,345766400000,0,1702400000,0,0,0,0,0,20000000000,1,0,360000000000,0,0,360000000000,364800000000,364800000000,0,0,400000000000,400000000000,0,0,0,1,1,400000000000,400000000000,0,0,0,0,0,1,1
0,2086,400000000000,360000000000,360000000000,400000000000,400000000000,380000000000,347289600000,0,1702400000,0,0,0,0,0,20000000000,1,0,360000000000,0,0,360000000000,363200000000,363200000000,0,0,400000000000,400000000000,0,0,0,1,1,400000000000,400000000000,0,0,0,0,0,1,1
0,2087,400000000000,360000000000,360000000000,400000000000,400000000000,380000000000,345766400000,0,1702400000,0,0,0,0,0,20000000000,1,0,360000000000,0,0,360000000000,363200000000,363200000000,0,0,400000000000,400000000000,0,0,0,1,1,400000000000,400000000000,0,0,0,0,0,1,1
0,2088,400000000000,360000000000,360000000000,400000000000,400000000000,380000000000,345766400000,0,1702400000,0,0,0,0,0,20000000000,1,0,360000000000,0,0,360000000000,364800000000,364800000000,0,0,400000000000,400000000000,0,0,0,1,1,400000000000,400000000000,0,0,0,0,0,1,1
0,2089,400000000000,360000000000,360000000000,400000000000,400000000000,380000000000,345766400000,0,1702400000,0,0,0,0,0,20000000000,1,0,360000000000,0,0,360000000000,363200000000,363200000000,0,0,400000000000,400000000000,0,0,0,1,1,400000000000,400000000000,0,0,0,0,0,1,1
0,2090,400000000000,360000000000,360000000000,400000000000,400000000000,380000000000,347289600000,0,1702400000,0,0,0,0,0,20000000000,1,0,360000000000,0,0,360000000000,363200000000,363200000000,0,0,400000000000,400000000000,0,0,0,1,1,400000000000,400000000000,0,0,0,0,0,1,1
0,2091,400000000000,360000000000,360000000000,400000000000,400000000000,380000000000,345766400000,0,1702400000,0,0,0,0,0,20000000000,1,0,360000000000,0,0,360000000000,363200000000,363200000000,0,0,400000000000,400000000000,0,0,0,1,1,400000000000,400000000000,0,0,0,0,0,1,1
0,2092,400000000000,360000000000,360000000000,400000000000,400000000000,380000000000,345766400000,0,1702400000,0,0,0,0,0,20000000000,1,0,360000000000,0,0,360000000000,364800000000,364800000000,0,0,400000000000,400000000000,0,0,0,1,1,400000000000,400000000000,0,0,0,0,0,1,1
0,2093,400000000000,360000000000,360000000000,400000000000,400000000000,380000000000,347289600000,0,1702400000,0,0,0,0,0,20000000000,1,0,360000000000,0,0,360000000000,363200000000,363200000000,0,0,400000000000,400000000000,0,0,0,1,1,400000000000,400000000000,0,0,0,0,0,1,1
0,2094,400000000000,360000000000,360000000000,400000000000,400000000000,380000000000,345766400000,0,1702400000,0,0,0,0,0,20000000000,1,0,360000000000,0,0,360000000000,363200000000,363200000000,0,0,400000000000,400000000000,0,0,0,1,1,400000000000,400000000000,0,0,0,0,0,1,1
0,2095,400000000000,360000000000,360000000000,400000000000,400000000000,380000000000,345766400000,0,1702400000,0,0,0,0,0,20000000000,1,0,360000000000,0,0,360000000000,363200000000,363200000000,0,0,400000000000,400000000000,0,0,0,1,1,400000000000,400000000000,0,0,0,0,0,1,1
0,2096,400000000000,360000000000,360000000000,400000000000,400000000000,380000000000,345766400000,0,1702400000,0,0,0,0,0,20000000000,1,0,360000000000,0,0,360000000000,364800000000,364800000000,0,0,400000000000,400000000000,0,0,0,1,1,400000000000,400000000000,0,0,0,0,0,1,1
